"SSID","Filename","Work[33419]","Creator[33420]","Culture[33421]","Title[33422]","Image View Description[33423]","Image View Type[33424]","Date Description[33425]","ARTstor Earliest Date[33426]","ARTstor Latest Date[33427]","Style/Period[33428]","Materials/Techniques[33429]","Measurements[33430]","Artstor Classification[33431]","Work Type[33432]","Repository[33433]","Repository Accession Number[33434]","Location[33435]","Creation/Discovery Site[33436]","Artstor Country[33440]","Description[33441]","Subject[33442]","Relationships[33443]","Reference Sources[33444]","Photographer[33445]","Image Date[33446]","Rights[33447]","Repository Classification Number[33448]","Image Repository[33449]","Image Collection[33450]","Image Accession Number[33451]","Image Accession Date[33452]","Image Classification Number[33453]","Image Type[33454]","Image Associated Name[33455]","Image Start Year[33456]","Image Measurements[33457]","Image End Year[33458]","Image Materials[33459]","Image Support[33460]","Image Subject[33461]","Image Rights[33462]","Image Credit[33463]","Image Notes[33464]","In House Notes[33465]","Send To Harvard[33466]","In House Use Only[33467]","Additional Formats[33470]","Olivia ID[33471]","Olivia Record Info[33472]","Image Requester[33473]","Image Request Date[33474]","Image Source ID[33475]","Image Source Type[33476]","Image Provider[33477]","Image Source Title[33478]","Image Source Alternate Title[33479]","Image Source Author[33480]","Image Source Edition[33481]","Image Source Place Of Publication[33482]","Image Source Publisher[33483]","Image Source Publication Date[33484]","Image Source Date[33485]","Image Source Series Title[33486]","Image Source Reference Number[33487]","Image Source Call Numbers[33488]","Image Source Notes[33489]","Image Source Record Created By[33490]","Volume[33491]","Issue Number[33492]","Year[33493]","Page Plate Number[33494]","Export Only In Group[33495]","Image Technique[33496]","Media URL"
"4087308","drs:urn-3:HBS.Baker.AC:1083631","8000171522","Sparrow, Thomas, producer ; Green, Jonas (1712-1767) producer ; Maryland, associated name",,"Maryland, 1 dollar, 1767","Recto",,"1767",1767,1767,"Colonial","ink on paper","6.2 x 10 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-01/1",,,,"Verso: note in manuscript: illegible inscription and print containing two different kinds of leaves. ; Inscription:""THIS INDENTED BILL of ONE DOLLAR, shall entitle the Bearer to receive Bills of Exchange payable in London, at the Rate of FOUR SHILLINGS and SIX PENCE Sterling per DOLLAR for the said bill, according to the Directions of an Act [ ] ASSEMBLY of MARYLAND. Dated in Annapolis, this First Day of Jan. Anno Domini 1767."" ; Verso: ""'Tis Death to Counterfeit. [ ] Jonas Green. ONE DOLLAR Equal to 4 s. 6 d. Sterling."" ; State/Edition:Maryland, 1767 ; Note - General:Handsigned, in ink:""[ ]"".","money ; Paper money ; leaves ; shields ; indexes (motifs) ; inscriptions, Latin ; patterns (design elements) ; bills of exchange ; borders (ornamental areas) ; coats of arms ; Colonial currency","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W362500_1","Record created: 11/22/2006  By: dmurphy Record modified: 9/19/2007  By: wise Export To VIA Date: 9/20/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4087308/representation-view"
"4087310","drs:urn-3:HBS.Baker.AC:1083632","8000171522","Sparrow, Thomas, producer ; Green, Jonas (1712-1767) producer ; Maryland, associated name",,"Maryland, 1 dollar, 1767","Verso",,"1767",1767,1767,"Colonial","ink on paper","6.2 x 10 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-01/1",,,,"Verso: note in manuscript: illegible inscription and print containing two different kinds of leaves. ; Inscription:""THIS INDENTED BILL of ONE DOLLAR, shall entitle the Bearer to receive Bills of Exchange payable in London, at the Rate of FOUR SHILLINGS and SIX PENCE Sterling per DOLLAR for the said bill, according to the Directions of an Act [ ] ASSEMBLY of MARYLAND. Dated in Annapolis, this First Day of Jan. Anno Domini 1767."" ; Verso: ""'Tis Death to Counterfeit. [ ] Jonas Green. ONE DOLLAR Equal to 4 s. 6 d. Sterling."" ; State/Edition:Maryland, 1767 ; Note - General:Handsigned, in ink:""[ ]"".","money ; Paper money ; leaves ; shields ; indexes (motifs) ; inscriptions, Latin ; patterns (design elements) ; bills of exchange ; borders (ornamental areas) ; coats of arms ; Colonial currency","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W362500_2","Record created: 11/22/2006  By: dmurphy Record modified: 9/19/2007  By: wise Export To VIA Date: 9/20/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4087310/representation-view"
"4089003","drs:urn-3:HBS.Baker.AC:1083633","8000172831","Pennsylvania, associated name",,"Pennsylvania, 2 shillings, 1769","Recto",,"1769",1769,1769,"Colonial","ink on paper","7.2 x 9 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-01/3",,,,"Verso blank ; Inscription:""THIS indented BILL of TWO SHILLINGS, shall entitle the Bearer to receive of the Treasurer of the Contributions to the Relief and Employment of the Poor in the City of Philadelphia, the like sum of TWO SHILLINGS of [ ] with the [ ] of the Bills of Credit of the Province, [ ] by Law [ ], according [ ]"".  ; ""Assembly [ ], made in the Ninth Year of the Reign of His Majesty GEORGE III. Dated the Tenth of March, 1769."" ; State/Edition:Pennsylvania, 1769 ; Note - General:Serial number: ""D"". ; Note in manuscript: signatures.","money ; Paper money ; shields ; patterns (design elements) ; bills of exchange ; Colonial currency","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W362503_1","Record created: 11/22/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4089003/representation-view"
"4083051","drs:urn-3:HBS.Baker.AC:1083634","8000168226","Green, Anne Catharine (-1775) producer ; Green, William (1746-1770) producer ; Green, Jonas (1712-1767) producer ; Sparrow, Thomas, producer ; Maryland, associated name",,"Maryland, 6 dollars, 1770","Recto",,"1770",1770,1770,"Colonial","ink on paper","6.7 x 10.6 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-02/1",,,,"Verso: Note on manuscript: ""L3[ ]0.10.3'2"". Nature print of two leaf types. ; Inscription:""THIS Indented BILL of SIX DOLLARS, shall entitle the Bearer hereof to receive BILLS of Exchange payable in LONDON, or Gold and Silver, at the rate of FOUR SHILLINGS AND SIX PENCE sterling per DOLLAR for the said BILL, according to the Directions of an ACT of Assembly of MARYLAND.  Dated in ANNAPOLIS, this first Day of MARCH, ANNO DOMINI MDCCLXX."" ; Verso: ""SIX DOLLARS. Equal to 27s. Sterling. 'Tis DEATH to Counterfeit. PRINTED BY A. C. and W. GREEN."" ; State/Edition:Maryland, 1770 ; Note - General:Issue number: note on manuscript, ""10282.","money ; Paper money ; coats of arms ; borders (ornamental areas) ; shields ; inscriptions, Latin ; patterns (design elements) ; leaves ; motifs ; bills of exchange ; Colonial currency","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W362504_1","Record created: 11/22/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4083051/representation-view"
"4083052","drs:urn-3:HBS.Baker.AC:1083635","8000168226","Green, Anne Catharine (-1775) producer ; Green, William (1746-1770) producer ; Green, Jonas (1712-1767) producer ; Sparrow, Thomas, producer ; Maryland, associated name",,"Maryland, 6 dollars, 1770","Verso",,"1770",1770,1770,"Colonial","ink on paper","6.7 x 10.6 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-02/1",,,,"Verso: Note on manuscript: ""L3[ ]0.10.3'2"". Nature print of two leaf types. ; Inscription:""THIS Indented BILL of SIX DOLLARS, shall entitle the Bearer hereof to receive BILLS of Exchange payable in LONDON, or Gold and Silver, at the rate of FOUR SHILLINGS AND SIX PENCE sterling per DOLLAR for the said BILL, according to the Directions of an ACT of Assembly of MARYLAND.  Dated in ANNAPOLIS, this first Day of MARCH, ANNO DOMINI MDCCLXX."" ; Verso: ""SIX DOLLARS. Equal to 27s. Sterling. 'Tis DEATH to Counterfeit. PRINTED BY A. C. and W. GREEN."" ; State/Edition:Maryland, 1770 ; Note - General:Issue number: note on manuscript, ""10282.","money ; Paper money ; coats of arms ; borders (ornamental areas) ; shields ; inscriptions, Latin ; patterns (design elements) ; leaves ; motifs ; bills of exchange ; Colonial currency","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W362504_2","Record created: 11/22/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4083052/representation-view"
"4088137","drs:urn-3:HBS.Baker.AC:1083636","8000172163","Green, Anne Catharine (-1775) producer ; Green, William (1746-1770) producer ; Sparrow, Thomas, producer ; Maryland, associated name",,"Maryland, 1 dollar, 1770","Recto",,"1770",1770,1770,"Colonial","ink on paper","6.5 x 12.1 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-02/2",,,,"Verso: nature print containing two different leaf types. ; Inscription:""THIS INDENTED BILL of ONE DOLLAR, shall entitle the Bearer hereof to receive Bills of Exchange payable in London, or Gold and Silver, at the Rate of FOUR SHILLINGS and SIX-PENCE Sterling per DOLLAR for the said Bill, according to the Directions of an Act of ASSEMBLY of MARYLAND. Dated in Annapolis, this First Day of March Anno Domini 1770."" ; Verso: ""'Tis DEATH to Counterfeit. PRINTED BY A. C. and W. GREEN. ONE DOLLAR. Equal to 4 s. 6 d. Sterling."" ; State/Edition:Maryland, 1770 ; Note - General:Hand signed by John Clapham and Robert Couden.","inscriptions, Latin ; indexes (motifs) ; Paper money ; coats of arms ; borders (ornamental areas) ; patterns (design elements) ; leaves ; shields ; money ; bills of exchange ; Colonial currency","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W362506_1","Record created: 11/22/2006  By: dmurphy Record modified: 9/19/2007  By: wise Export To VIA Date: 9/20/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4088137/representation-view"
"4088138","drs:urn-3:HBS.Baker.AC:1083637","8000172163","Green, Anne Catharine (-1775) producer ; Green, William (1746-1770) producer ; Sparrow, Thomas, producer ; Maryland, associated name",,"Maryland, 1 dollar, 1770","Verso",,"1770",1770,1770,"Colonial","ink on paper","6.5 x 12.1 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-02/2",,,,"Verso: nature print containing two different leaf types. ; Inscription:""THIS INDENTED BILL of ONE DOLLAR, shall entitle the Bearer hereof to receive Bills of Exchange payable in London, or Gold and Silver, at the Rate of FOUR SHILLINGS and SIX-PENCE Sterling per DOLLAR for the said Bill, according to the Directions of an Act of ASSEMBLY of MARYLAND. Dated in Annapolis, this First Day of March Anno Domini 1770."" ; Verso: ""'Tis DEATH to Counterfeit. PRINTED BY A. C. and W. GREEN. ONE DOLLAR. Equal to 4 s. 6 d. Sterling."" ; State/Edition:Maryland, 1770 ; Note - General:Hand signed by John Clapham and Robert Couden.","inscriptions, Latin ; indexes (motifs) ; Paper money ; coats of arms ; borders (ornamental areas) ; patterns (design elements) ; leaves ; shields ; money ; bills of exchange ; Colonial currency","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W362506_2","Record created: 11/22/2006  By: dmurphy Record modified: 9/19/2007  By: wise Export To VIA Date: 9/20/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4088138/representation-view"
"4090031","drs:urn-3:HBS.Baker.AC:1083638","8000173633","Green, Anne Catharine (-1775) producer ; Green, Frederick (1750-1811) producer ; Green, Jonas (1712-1767) producer ; Sparrow, Thomas, producer ; Maryland, associated name",,"Maryland, 4 dollars, 1774","Recto",,"1774",1774,1774,"Colonial","ink on paper","6.2 x 11.6 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-02/3",,,,"Verso: nature print containing branch with limbs and leaf with initials I G. ; Inscription:""THIS Indented BILL of FOUR DOLLARS, shall entitle the BEARER hereof to receive Bills of Exchange, payable in LONDON, or Gold and Silver at the Rate of Four Shillings and Six-pence Sterling per DOLLAR for the said Bill, according to the Directions of an Act of ASSEMBLY of Maryland. Dated in ANNAPOLIS, this 10th Day of April, Anno Domini 1774."" ; State/Edition:Maryland, 1774 ; Note - General:Issue number, note on manuscript: ""10970"". Hand signed by John Clapham and William Eddis.","money ; bills of exchange ; Paper money ; borders (ornamental areas) ; patterns (design elements) ; leaves ; inscriptions, Latin ; coats of arms ; shields ; crowns (headdresses) ; initials ; Colonial currency","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W362507_1","Record created: 11/22/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4090031/representation-view"
"4090032","drs:urn-3:HBS.Baker.AC:1083639","8000173633","Green, Anne Catharine (-1775) producer ; Green, Frederick (1750-1811) producer ; Green, Jonas (1712-1767) producer ; Sparrow, Thomas, producer ; Maryland, associated name",,"Maryland, 4 dollars, 1774","Verso",,"1774",1774,1774,"Colonial","ink on paper","6.2 x 11.6 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-02/3",,,,"Verso: nature print containing branch with limbs and leaf with initials I G. ; Inscription:""THIS Indented BILL of FOUR DOLLARS, shall entitle the BEARER hereof to receive Bills of Exchange, payable in LONDON, or Gold and Silver at the Rate of Four Shillings and Six-pence Sterling per DOLLAR for the said Bill, according to the Directions of an Act of ASSEMBLY of Maryland. Dated in ANNAPOLIS, this 10th Day of April, Anno Domini 1774."" ; State/Edition:Maryland, 1774 ; Note - General:Issue number, note on manuscript: ""10970"". Hand signed by John Clapham and William Eddis.","money ; bills of exchange ; Paper money ; borders (ornamental areas) ; patterns (design elements) ; leaves ; inscriptions, Latin ; coats of arms ; shields ; crowns (headdresses) ; initials ; Colonial currency","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W362507_2","Record created: 11/22/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4090032/representation-view"
"4085512","drs:urn-3:HBS.Baker.AC:1083640","8000170129","Green, Anne Catharine (-1775) producer ; Green, Frederick (1750-1811) producer ; Green, Jonas (1712-1767) producer ; Sparrow, Thomas, producer ; Maryland, associated name",,"Maryland, 4 dollars, 1774","Recto",,"1774",1774,1774,"Colonial","ink on paper","6.2 x 11.6 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-02/4",,,,"Verso: nature print containing branch with limbs and leaf with initials I G. ; Inscription:""THIS Indented BILL of FOUR DOLLARS, shall entitle the BEARER hereof to receive Bills of Exhange, payable in LONDON, or Gold and Silver at the Rate of Four Shillings and Six-pence Sterling per DOLLAR for the said Bill, according to the Directions of an Act of ASSEMBLY of Maryland. Dated in ANNAPOLIS, this 10th Day of April, Anno Domini 1774."" ; Verso: ""FOUR DOLLARS. Equal to Eighteen Shillings Sterling. ANNAPOLIS. Prined by A. C. and F. GREEN. 'Tis Death to Counterfeit."" ; State/Edition:Maryland, 1774 ; Note - General:Handwritten issue number, note on manuscript: ""2260"". Hand signed by William Eddis and John Clapham.","bills of exchange ; Paper money ; money ; borders (ornamental areas) ; patterns (design elements) ; leaves ; inscriptions, Latin ; coats of arms ; shields ; crowns (headdresses) ; initials ; Colonial currency","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W362508_1","Record created: 11/22/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4085512/representation-view"
