title,source,permission,author,description,date,medium,dimensions,institution,department,notes,accession number
"Recto_Maryland_1 dollar_1767","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362500/urn-3:HBS.Baker.AC:1083631/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362500_urn-3:HBS.Baker.AC:1083631 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362500_urn-3:HBS.Baker.AC:1083631","Rights Statements in evaluation, waiting for OGC. No permission granted.","Sparrow, Thomas, producer ; Green, Jonas (1712-1767) producer ; Maryland, associated name","Verso: note in manuscript: illegible inscription and print containing two different kinds of leaves.","1767","ink on paper","6.2 x 10 cm.","Q49126","Q42377658","citation: Maryland, 1 dollar, 1767, 1767. Baker Library, Harvard Business School, Historical Collections, 1-01/1, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Recto.","MH:VIA W362500_urn-3:HBS.Baker.AC:1083631"
"Verso_Maryland_1 dollar_1767","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362500/urn-3:HBS.Baker.AC:1083632/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362500_urn-3:HBS.Baker.AC:1083632 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362500_urn-3:HBS.Baker.AC:1083632","Rights Statements in evaluation, waiting for OGC. No permission granted.","Sparrow, Thomas, producer ; Green, Jonas (1712-1767) producer ; Maryland, associated name","Verso: note in manuscript: illegible inscription and print containing two different kinds of leaves.","1767","ink on paper","6.2 x 10 cm.","Q49126","Q42377658","citation: Maryland, 1 dollar, 1767, 1767. Baker Library, Harvard Business School, Historical Collections, 1-01/1, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Verso.","MH:VIA W362500_urn-3:HBS.Baker.AC:1083632"
"Recto_Pennsylvania_2 shillings_1769","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362503/urn-3:HBS.Baker.AC:1083633/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362503_urn-3:HBS.Baker.AC:1083633 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362503_urn-3:HBS.Baker.AC:1083633","Rights Statements in evaluation, waiting for OGC. No permission granted.","Pennsylvania, associated name","Verso blank","1769","ink on paper","7.2 x 9 cm.","Q49126","Q42377658","citation: Pennsylvania, 2 shillings, 1769, 1769. Baker Library, Harvard Business School, Historical Collections, 1-01/3, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Recto.","MH:VIA W362503_urn-3:HBS.Baker.AC:1083633"
"Recto_Maryland_6 dollars_1770","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362504/urn-3:HBS.Baker.AC:1083634/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362504_urn-3:HBS.Baker.AC:1083634 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362504_urn-3:HBS.Baker.AC:1083634","Rights Statements in evaluation, waiting for OGC. No permission granted.","Green, Anne Catharine (-1775) producer ; Green, William (1746-1770) producer ; Green, Jonas (1712-1767) producer ; Sparrow, Thomas, producer ; Maryland, associated name","Verso: Note on manuscript: ""L3[ ]0.10.3'2"". Nature print of two leaf types.","1770","ink on paper","6.7 x 10.6 cm.","Q49126","Q42377658","citation: Maryland, 6 dollars, 1770, 1770. Baker Library, Harvard Business School, Historical Collections, 1-02/1, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Recto.","MH:VIA W362504_urn-3:HBS.Baker.AC:1083634"
"Verso_Maryland_6 dollars_1770","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362504/urn-3:HBS.Baker.AC:1083635/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362504_urn-3:HBS.Baker.AC:1083635 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362504_urn-3:HBS.Baker.AC:1083635","Rights Statements in evaluation, waiting for OGC. No permission granted.","Green, Anne Catharine (-1775) producer ; Green, William (1746-1770) producer ; Green, Jonas (1712-1767) producer ; Sparrow, Thomas, producer ; Maryland, associated name","Verso: Note on manuscript: ""L3[ ]0.10.3'2"". Nature print of two leaf types.","1770","ink on paper","6.7 x 10.6 cm.","Q49126","Q42377658","citation: Maryland, 6 dollars, 1770, 1770. Baker Library, Harvard Business School, Historical Collections, 1-02/1, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Verso.","MH:VIA W362504_urn-3:HBS.Baker.AC:1083635"
"Recto_Maryland_1 dollar_1770","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362506/urn-3:HBS.Baker.AC:1083636/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362506_urn-3:HBS.Baker.AC:1083636 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362506_urn-3:HBS.Baker.AC:1083636","Rights Statements in evaluation, waiting for OGC. No permission granted.","Green, Anne Catharine (-1775) producer ; Green, William (1746-1770) producer ; Sparrow, Thomas, producer ; Maryland, associated name","Verso: nature print containing two different leaf types.","1770","ink on paper","6.5 x 12.1 cm.","Q49126","Q42377658","citation: Maryland, 1 dollar, 1770, 1770. Baker Library, Harvard Business School, Historical Collections, 1-02/2, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Recto.","MH:VIA W362506_urn-3:HBS.Baker.AC:1083636"
"Verso_Maryland_1 dollar_1770","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362506/urn-3:HBS.Baker.AC:1083637/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362506_urn-3:HBS.Baker.AC:1083637 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362506_urn-3:HBS.Baker.AC:1083637","Rights Statements in evaluation, waiting for OGC. No permission granted.","Green, Anne Catharine (-1775) producer ; Green, William (1746-1770) producer ; Sparrow, Thomas, producer ; Maryland, associated name","Verso: nature print containing two different leaf types.","1770","ink on paper","6.5 x 12.1 cm.","Q49126","Q42377658","citation: Maryland, 1 dollar, 1770, 1770. Baker Library, Harvard Business School, Historical Collections, 1-02/2, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Verso.","MH:VIA W362506_urn-3:HBS.Baker.AC:1083637"
"Recto_Maryland_4 dollars_1774","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362507/urn-3:HBS.Baker.AC:1083638/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362507_urn-3:HBS.Baker.AC:1083638 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362507_urn-3:HBS.Baker.AC:1083638","Rights Statements in evaluation, waiting for OGC. No permission granted.","Green, Anne Catharine (-1775) producer ; Green, Frederick (1750-1811) producer ; Green, Jonas (1712-1767) producer ; Sparrow, Thomas, producer ; Maryland, associated name","Verso: nature print containing branch with limbs and leaf with initials I G.","1774","ink on paper","6.2 x 11.6 cm.","Q49126","Q42377658","citation: Maryland, 4 dollars, 1774, 1774. Baker Library, Harvard Business School, Historical Collections, 1-02/3, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Recto.","MH:VIA W362507_urn-3:HBS.Baker.AC:1083638"
"Verso_Maryland_4 dollars_1774","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362507/urn-3:HBS.Baker.AC:1083639/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362507_urn-3:HBS.Baker.AC:1083639 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362507_urn-3:HBS.Baker.AC:1083639","Rights Statements in evaluation, waiting for OGC. No permission granted.","Green, Anne Catharine (-1775) producer ; Green, Frederick (1750-1811) producer ; Green, Jonas (1712-1767) producer ; Sparrow, Thomas, producer ; Maryland, associated name","Verso: nature print containing branch with limbs and leaf with initials I G.","1774","ink on paper","6.2 x 11.6 cm.","Q49126","Q42377658","citation: Maryland, 4 dollars, 1774, 1774. Baker Library, Harvard Business School, Historical Collections, 1-02/3, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Verso.","MH:VIA W362507_urn-3:HBS.Baker.AC:1083639"
"Recto_Maryland_4 dollars_1774","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362508/urn-3:HBS.Baker.AC:1083640/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362508_urn-3:HBS.Baker.AC:1083640 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362508_urn-3:HBS.Baker.AC:1083640","Rights Statements in evaluation, waiting for OGC. No permission granted.","Green, Anne Catharine (-1775) producer ; Green, Frederick (1750-1811) producer ; Green, Jonas (1712-1767) producer ; Sparrow, Thomas, producer ; Maryland, associated name","Verso: nature print containing branch with limbs and leaf with initials I G.","1774","ink on paper","6.2 x 11.6 cm.","Q49126","Q42377658","citation: Maryland, 4 dollars, 1774, 1774. Baker Library, Harvard Business School, Historical Collections, 1-02/4, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Recto.","MH:VIA W362508_urn-3:HBS.Baker.AC:1083640"
